company1Label,p1Label,intermediateLabel,p2Label,company2Label,p1,p2,company1,company2
Boeing,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,Nike,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q66,http://www.wikidata.org/entity/Q483915
Intel Corporation,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,Nike,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q483915
Intel Corporation,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,Comcast,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q1113804
Boeing,http://www.wikidata.org/prop/direct/P1830,United Launch Alliance,http://www.wikidata.org/prop/direct/P127,Lockheed Martin,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q66,http://www.wikidata.org/entity/Q7240
Boeing,http://www.wikidata.org/prop/direct/P1830,United Launch Alliance,http://www.wikidata.org/prop/direct/P749,Lockheed Martin,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/prop/direct/P749,http://www.wikidata.org/entity/Q66,http://www.wikidata.org/entity/Q7240
Boeing,http://www.wikidata.org/prop/direct/P1830,United Space Alliance,http://www.wikidata.org/prop/direct/P127,Lockheed Martin,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q66,http://www.wikidata.org/entity/Q7240
Intel Corporation,http://www.wikidata.org/prop/direct/P3320,Omar Ishrak,http://www.wikidata.org/prop/direct/P1416,Medtronic plc,http://www.wikidata.org/prop/direct/P3320,http://www.wikidata.org/prop/direct/P1416,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q642189
Boeing,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,"Honeywell International, Inc.",http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q66,http://www.wikidata.org/entity/Q898208
Intel Corporation,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,"Honeywell International, Inc.",http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q898208
Intel Corporation,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,Adobe,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q11463
Intel Corporation,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Adobe,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q11463
Boeing,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Gilead Sciences,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q66,http://www.wikidata.org/entity/Q663596
Intel Corporation,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Danaher Corporation,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q1159256
Intel Corporation,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Accenture,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q338825
Boeing,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Accenture,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q66,http://www.wikidata.org/entity/Q338825
